,0
0,0.75
1,0.6842105263157896
2,0.7567567567567567
3,0.6875
4,0.6428571428571429
5,0.7500000000000001
6,0.6857142857142857
7,0.5555555555555556
8,0.6875
9,0.6206896551724138
10,0.4827586206896552
11,0.625
12,0.5517241379310345
13,0.6153846153846154
14,0.7894736842105263
15,0.6818181818181818
16,0.5806451612903225
17,0.6341463414634146
18,0.7368421052631577
19,0.5909090909090909
20,0.7272727272727272
21,0.6285714285714287
22,0.7727272727272727
23,0.6470588235294117
24,0.5294117647058824
25,0.6315789473684211
26,0.5714285714285714
27,0.7567567567567567
28,0.5945945945945946
29,0.6190476190476191
30,0.5945945945945946
31,0.6666666666666665
32,0.7368421052631577
33,0.6666666666666666
34,0.4
35,0.6875
36,0.8461538461538461
37,0.6666666666666667
38,0.7441860465116279
39,0.7692307692307693
40,0.4666666666666667
41,0.6666666666666665
42,0.625
43,0.7272727272727273
44,0.6842105263157895
45,0.7906976744186046
46,0.5882352941176471
47,0.6666666666666665
48,0.55
49,0.7741935483870968
50,0.6842105263157895
51,0.5882352941176471
52,0.6285714285714287
53,0.6666666666666667
54,0.7346938775510204
55,0.6500000000000001
56,0.7222222222222223
57,0.7
58,0.5555555555555556
59,0.6666666666666666
60,0.5555555555555556
61,0.7333333333333333
62,0.5806451612903226
63,0.6666666666666666
64,0.5294117647058824
65,0.5945945945945946
66,0.6923076923076924
67,0.6451612903225806
68,0.5161290322580646
69,0.6111111111111112
70,0.5294117647058824
71,0.7647058823529411
72,0.47058823529411764
73,0.6896551724137931
74,0.5294117647058824
75,0.7096774193548386
76,0.7647058823529411
77,0.631578947368421
78,0.6470588235294117
79,0.6486486486486486
80,0.6363636363636364
81,0.6666666666666666
82,0.5625
83,0.7894736842105263
84,0.6046511627906976
85,0.761904761904762
86,0.4864864864864864
87,0.7407407407407408
88,0.6500000000000001
89,0.6666666666666665
90,0.7727272727272727
91,0.6451612903225806
92,0.6285714285714287
93,0.7567567567567567
94,0.6285714285714287
95,0.5925925925925926
96,0.5789473684210527
97,0.7567567567567567
98,0.5714285714285714
99,0.6666666666666666
